Model,Serial Number,MAC,Device Name,,,,MAC address ,AP Name,CL 2017 Audit,,,MWC15SENT,
AIR-CAP3702i-E-K9,FGL1808S5EF,7426AC68F924,AP1138,3702i,1,ap name,7426AC68F924,AP1138-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DP,7426AC67E0BC,AP1139,3702i,1,ap name,7426AC67E0BC,AP1139-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DV,7426AC68F1E0,AP1140,3702i,1,ap name,7426AC68F1E0,AP1140-3702i,1,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DZ,7426AC4F9ACC,AP1141,3702i,1,ap name,7426AC4F9ACC,AP1141-3702i,1,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FGL1808S5DJ,7426AC67DCDC,AP1142,3702i,1,ap name,7426AC67DCDC,AP1142-3702i,,,1,From Sujit,my seed units GSMA replacement
AIR-CAP3702i-E-K9,FCZ1814D1G5,6412254BDA20,AP1143,3702i,,,6412254BDA20,AP1143-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1814D1G2,6412254BDE60,AP1144,3702i,,,6412254BDE60,AP1144-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1814D1GK,6412254BDE58,AP1145,3702i,,,6412254BDE58,AP1145-3702i,1,,84,,
AIR-CAP3702i-E-K9,FCW1928N7TF,5897BD2B8160,AP1146,3702i,,,5897BD2B8160,AP1146-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1147,3702i,,,,AP1147-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N7YL,5897BD3F596C,AP1148,3702i,,,5897BD3F596C,AP1148-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13P,A89D212EC214,AP1149,3702i,,,A89D212EC214,AP1149-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13S,A89D2105A4EC,AP1150,3702i,,,A89D2105A4EC,AP1150-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13Q,A89D211ED7B0,AP1151,3702i,,,A89D211ED7B0,AP1151-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13N,A89D212584D4,AP1152,3702i,,,A89D212584D4,AP1152-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13L,A89D212EC134,AP1153,3702i,,,A89D212EC134,AP1153-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13J,A89D211ED7BC,AP1154,3702i,,,A89D211ED7BC,AP1154-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13M,A89D211ED7A4,AP1155,3702i,,,A89D211ED7A4,AP1155-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13R,A89D2105A4A4,AP1156,3702i,,,A89D2105A4A4,AP1156-3702i,1,,,,
AIR-CAP3702i-E-K9,FCZ1910J13H,A89D2105A4B0,AP1157,3702i,,,A89D2105A4B0,AP1157-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1158,3702i,,,,AP1158-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1910J13K,A89D2105A67C,AP1159,3702i,,,A89D2105A67C,AP1159-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1160,3702i,,,,AP1160-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1161,3702i,,,,AP1161-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1162,3702i,,,,AP1162-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1163,3702i,,,,AP1163-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1164,3702i,,,,AP1164-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1165,3702i,,,,AP1165-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1166,3702i,,,,AP1166-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1167,3702i,,,,AP1167-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1168,3702i,,,,AP1168-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1169,3702i,,,,AP1169-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N7ZR,5897BD2B8258,AP1170,3702i,,,5897BD2B8258,AP1170-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N7YQ,5897BD3F5758,AP1171,3702i,,,5897BD3F5758,AP1171-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N7ZA,5897BD2EF99C,AP1172,3702i,,,5897BD2EF99C,AP1172-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N7YU,5897BD2B8250,AP1173,3702i,,,5897BD2B8250,AP1173-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1174,3702i,,,,AP1174-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N7TM,5897BD303844,AP1175,3702i,,,5897BD303844,AP1175-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1176,3702i,,,,AP1176-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N7YJ,5897BD2B8200,AP1177,3702i,,,5897BD2B8200,AP1177-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N81Q,5897BD26EC34,AP1178,3702i,,,5897BD26EC34,AP1178-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N7XX,5897BD3F594C,AP1179,3702i,,,5897BD3F594C,AP1179-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1180,3702i,,,,AP1180-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N85J,5897BD2B82C0,AP1181,3702i,,,5897BD2B82C0,AP1181-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N83N,5897BD2B8288,AP1182,3702i,,,5897BD2B8288,AP1182-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N86U,5897BD26EC90,AP1183,3702i,,,5897BD26EC90,AP1183-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1184,3702i,,,,AP1184-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N7YV,5897BD30385C,AP1185,3702i,,,5897BD30385C,AP1185-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N7TL,5897BD2B80EC,AP1186,3702i,,,5897BD2B80EC,AP1186-3702i,1,,,,
