Model,Serial Number,MAC,Device Name,,,,Mac address,AP Name,CL 2017 Audit,,,,MWC SENT,CL 2017 Audit,,,,MWC SENT,CL 2017 Audit,,CL 2017 Audit
AIR-CAP3702E-E-K9,FGL1750S7NY,7CAD74FF6BEA,AP1268,3702e,1,ap name,7CAD74FF6BEA,AP1268-3702e,,,,,,,,,,,,AP1268-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NU,7CAD74FF3B96,AP1269,3702e,1,ap name,7CAD74FF3B96,AP1269-3702e,,,,,,,,,,,,AP1269-3702e,
AIR-CAP3702E-E-K9,FCZ175180SD,BC1665094700,,3702e,,,BC1665094700,AP1270-3702e,1,,,,,1,,,,,1,AP1270-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NK,7CAD74FF6112,,3702e,,,7CAD74FF6112,AP1271-3702e,1,,22,23,,1,22,,23,,1,AP1271-3702e,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AIR-CAP3702E-E-K9,FGL1750S7PJ,7CAD74FF626E,AP1280,3702e,1,ap name,7CAD74FF626E,AP1280-3702e,1,home,,,,1,,,,,1,AP1280-3702e,1
AIR-CAP3702E-E-K9,FGL1750S5S7,BC1665091810,AP1281,3702e,1,ap name,BC1665091810,AP1281-3702e,1,,From Sujit,my seed units GSMA replacement,,1,From Sujit,,my seed units GSMA replacement,,1,AP1281-3702e,1
AIR-CAP3702E-E-K10,FGL1750S5RP,BC1665091828,AP1282,3702e,2,ap name,BC1665091828,AP1282-3702e,1,,From Sujit,my seed units GSMA replacement,,1,From Sujit,,my seed units GSMA replacement,,1,AP1282-3702e,1
AIR-CAP3702E-E-K11,FGL1750S5RU,BC1665091864,AP1283,3702e,3,ap name,BC1665091864,AP1283-3702e,1,,From Sujit,my seed units GSMA replacement,,1,From Sujit,,my seed units GSMA replacement,,1,AP1283-3702e,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AP1288-3702e,,,lab,,,,lab,,,,,AP1288-3702e,
